"""%1"" is not a valid cron field in the cleanup schedule.","""%1"" is not a valid cron field in the cleanup schedule."
"Action","Action"
"Activity #%1","Activity #%1"
"Activity Details","Activity Details"
"Add","Add"
"Admin","Admin"
"Admin Activity","Admin Activity"
"Admin Activity Log","Admin Activity Log"
"Admin Activity Settings","Admin Activity Settings"
"Back to Activity Log","Back to Activity Log"
"Changed Fields","Changed Fields"
"Cleanup Schedule","Cleanup Schedule"
"Clear Admin Activity Logs After (days)","Clear Admin Activity Logs After (days)"
"Controller Action","Controller Action"
"Cron expression for the cleanup job, e.g. 0 3 * * * for 3am daily.","Cron expression for the cleanup job, e.g. 0 3 * * * for 3am daily."
"Delete","Delete"
"Edit","Edit"
"Enable Admin Activity Logs","Enable Admin Activity Logs"
"Entity","Entity"
"Entity ID","Entity ID"
"Entity Name","Entity Name"
"Failure","Failure"
"Field","Field"
"General","General"
"ID","ID"
"IP Address","IP Address"
"Login","Login"
"Login Failed","Login Failed"
"Logout","Logout"
"Magenx","Magenx"
"Mass Update","Mass Update"
"Master switch. Off means nothing is recorded; existing records are kept.","Master switch. Off means nothing is recorded; existing records are kept."
"Message","Message"
"New Value","New Value"
"No field-level changes were recorded for this action.","No field-level changes were recorded for this action."
"Old Value","Old Value"
"Page Visit","Page Visit"
"Print","Print"
"Record Login Activity","Record Login Activity"
"Record Page Visits","Record Page Visits"
"Records older than this are deleted by cron. 0 keeps everything forever.","Records older than this are deleted by cron. 0 keeps everything forever."
"Request URL","Request URL"
"Status","Status"
"Success","Success"
"Successful logins, failed attempts and logouts, each with the IP address behind them.","Successful logins, failed attempts and logouts, each with the IP address behind them."
"The cleanup schedule cannot be empty. Use a cron expression such as 0 3 * * *.","The cleanup schedule cannot be empty. Use a cron expression such as 0 3 * * *."
"The cleanup schedule must be a cron expression of 5 or 6 fields, e.g. 0 3 * * *. Got: %1","The cleanup schedule must be a cron expression of 5 or 6 fields, e.g. 0 3 * * *. Got: %1"
"This activity record no longer exists.","This activity record no longer exists."
"Time","Time"
"User Agent","User Agent"
"View","View"
"n/a","n/a"
